"bibjson.end_page","bibjson.year","bibjson.journal.volume","bibjson.journal.number","bibjson.month","bibjson.start_page","id","_version_","last_updated","bibjson.identifier.id","bibjson.identifier.type","bibjson.keywords","bibjson.subject.code","bibjson.subject.scheme","bibjson.subject.term","bibjson.author.name","bibjson.link.content_type","bibjson.link.type","bibjson.link.url","bibjson.abstract","bibjson.title","bibjson.journal.country","bibjson.journal.license.open_access","bibjson.journal.license.title","bibjson.journal.license.type","bibjson.journal.license.url","bibjson.journal.issns","bibjson.journal.publisher","bibjson.journal.language","bibjson.journal.title","created_date","bibjson.author.affiliation","admin.seal","bibjson.author.orcid_id"
"48",2020,"94",,"05","44","ceb8f0717ca34bd39714491b6f5c5ee1",1669377002777346050,"2020-05-15T04:20:20","1201-9712","pissn","Coronavirus","RC109-216","LCC","Infectious and parasitic diseases","Di Wu",,"fulltext","http://www.sciencedirect.com/science/article/pii/S1201971220301235","There is a current worldwide outbreak of the novel coronavirus Covid-19 (coronavirus disease 2019; the pathogen called SARS-CoV-2; previously 2019-nCoV), which originated from Wuhan in China and has now spread to 6 continents including 66 countries, as of 24:00 on March 2, 2020. Governments are under increased pressure to stop the outbreak from spiraling into a global health emergency. At this stage, preparedness, transparency, and sharing of information are crucial to risk assessments and beginning outbreak control activities. This information should include reports from outbreak site and from laboratories supporting the investigation. This paper aggregates and consolidates the epidemiology, clinical manifestations, diagnosis, treatments and preventions of this new type of coronavirus.","The SARS-CoV-2 outbreak: What we know","NL",1,"CC BY-NC-ND","CC BY-NC-ND","http://www.elsevier.com/journals/international-journal-of-infectious-diseases/1201-9712/open-access-journal","1201-9712","Elsevier","EN","International Journal of Infectious Diseases","2020-04-19T05:06:05","Guangzhou Center for Disease Control and Prevention, Guangzhou, China",,
"e090203",2020,"9","2","5","e090203","f3f305b34658445184565f446b1a1b19",1669377004638568450,"2020-05-20T18:10:41","2281-0692","eissn","covid-19","R","LCC","Medicine","Giorgia Casti","html","fulltext","http://www.jpnim.com/index.php/jpnim/article/view/090203","The ongoing pandemic is the result of the spread of a recently identified Coronavirus, named SARS-CoV-2 (Severe Acute Respiratory Syndrome – Coronavirus – 2).<br />Since 31<sup>th</sup> December 2019, when the first cluster was reported in Wuhan (China), the global Novel COronaVIrus Disease 2019 (COVID-19) cases significantly increased, and on 12<sup>th</sup> March 2020, the WHO Director declared the disease as pandemic.<br />As of April 28<sup>th</sup> 2020, 2.982,688 cases and 210,193 deaths were reported globally.<br />The aim of this article is the analysis of the main epidemiological characteristics of the current pandemic: transmission, basic reproduction number (R0), incubation period, global, European and Italian confirmed cases and deaths, focusing on the paediatric population.<br />","Epidemiology of SARS-CoV-2: numbers matter!","IT",1,"Publisher's own license","Publisher's own license","http://www.jpnim.com/index.php/jpnim/about/editorialPolicies#openAccessPolicy","2281-0692","Hygeia Press di Corridori Marinella","EN","Journal of Pediatric and Neonatal Individualized Medicine","2020-05-20T18:10:41","School of Pediatrics, University of Cagliari, Cagliari, Italy",,
"381",2013,"112","7","7","372","05f06e90132b4ca1a9f05ac2b1ff3927",1669316568575639550,"2020-02-04T05:15:31","0929-6646","pissn","coronavirus","R5-920","LCC","Medicine (General)","Jasper Fuk-Woo Chan",,"fulltext","http://www.sciencedirect.com/science/article/pii/S0929664613001770","A novel lineage C betacoronavirus, originally named human coronavirus EMC/2012 (HCoV-EMC) and recently renamed Middle East respiratory syndrome coronavirus (MERS-CoV), that is phylogenetically closely related to Tylonycteris bat coronavirus HKU4 and Pipistrellus bat coronavirus HKU5, which we discovered in 2007 from bats in Hong Kong, has recently emerged in the Middle East to cause a severe acute respiratory syndrome (SARS)-like infection in humans. The first laboratory-confirmed case, which involved a 60-year-old man from Bisha, the Kingdom of Saudi Arabia (KSA), who died of rapidly progressive community-acquired pneumonia and acute renal failure, was announced by the World Health Organization (WHO) on September 23, 2012. Since then, a total of 70 cases, including 39 fatalities, have been reported in the Middle East and Europe. Recent clusters involving epidemiologically-linked household contacts and hospital contacts in the Middle East, Europe, and Africa strongly suggested possible human-to-human transmission. Clinical and laboratory research data generated in the past few months have provided new insights into the possible animal reservoirs, transmissibility, and virulence of MERS-CoV, and the optimal laboratory diagnostic options and potential antiviral targets for MERS-CoV-associated infection.","The emerging novel Middle East respiratory syndrome coronavirus: The “knowns” and “unknowns”","NL",1,"CC BY-NC-ND","CC BY-NC-ND","https://www.elsevier.com/journals/journal-of-the-formosan-medical-association/0929-6646/open-access-journal","0929-6646","Elsevier","EN","Journal of the Formosan Medical Association","2017-04-17T12:05:24","State Key Laboratory of Emerging Infectious Diseases, The University of Hong Kong, Hong Kong, China",,
,2005,"5","1","10","87","2a84e32df8d14af7a485cafa035bf680",1669371196333883390,"2020-02-04T04:35:22","10.1186/1471-2334-5-87","doi",,"RC109-216","LCC","Infectious and parasitic diseases","Jin Yongjie",,"fulltext","http://www.biomedcentral.com/1471-2334/5/87","<p>Abstract</p> <p>Background</p> <p>The Severe Acute Respiratory Syndrome (SARS) was a newly emerged infectious disease which caused a global epidemic in 2002–2003. Sequence analysis of SARS-coronavirus isolates revealed that specific genotypes predominated at different periods of the epidemic. This information can be used as a footprint for tracing the epidemiology of infections and monitor viral evolution. However, direct sequencing analysis of a large number of clinical samples is cumbersome and time consuming. We present here a simple and rapid assay for the screening of SARS-coronavirus genotypes based on the use of fluorogenic oligonucleotide probes for allelic discrimination.</p> <p>Methods</p> <p>Thirty SARS patients were recruited. Allelic discrimination assays were developed based on the use of fluorogenic oligonucleotide probes (TaqMan). Genotyping of the SARS-coronavirus isolates obtained from these patients were carried out by the allelic discrimination assays and confirmed by direct sequencing.</p> <p>Results</p> <p>Genotyping based on the allelic discrimination assays were fully concordant with direct sequencing. All of the 30 SARS-coronavirus genotypes studied were characteristic of genotypes previously documented to be associated with the latter part of the epidemic. Seven of the isolates contained a previously reported major deletion but in patients not epidemiologically related to the previously studied cohort.</p> <p>Conclusion</p> <p>We have developed a simple and accurate method for the characterization and screening of SARS-coronavirus genotypes. It is a promising tool for the study of epidemiological relationships between documented cases during an outbreak.</p> ","A simple and rapid approach for screening of SARS-coronavirus genotypes: an evaluation study","GB",1,"CC BY","CC BY","http://www.biomedcentral.com/about","1471-2334","BMC","EN","BMC Infectious Diseases","2005-11-12T00:00:00",,1,
,2020,"21","3492","05","3492","534a2b8737f4415daad00797c2f01f87",1669376886751363070,"2020-05-15T23:01:07","10.3390/ijms21103492","doi","DUBs","QH301-705.5","LCC","Biology (General)","Valentino Clemente","text/html","fulltext","https://www.mdpi.com/1422-0067/21/10/3492","Following the outbreak of novel severe acute respiratory syndrome (SARS)-coronavirus (CoV)2, the majority of nations are struggling with countermeasures to fight infection, prevent spread and improve patient survival. Considering that the pandemic is a recent event, no large clinical trials have been possible and since coronavirus specific drug are not yet available, there is no strong consensus on how to treat the coronavirus disease 2019 (COVID-19) associated viral pneumonia. Coronaviruses code for an important multifunctional enzyme named papain-like protease (PLP), that has many roles in pathogenesis. First, PLP is one of the two viral cysteine proteases, along with 3-chymotripsin-like protease, that is responsible for the production of the replicase proteins required for viral replication. Second, its intrinsic deubiquitinating and deISGylating activities serve to antagonize the host’s immune response that would otherwise hinder infection. Both deubiquitinating and deISGylating functions involve the removal of the small regulatory polypeptides, ubiquitin and ISG15, respectively, from target proteins. Ubiquitin modifications can regulate the innate immune response by affecting regulatory proteins, either by altering their stability via the ubiquitin proteasome pathway or by directly regulating their activity. ISG15 is a ubiquitin-like modifier with pleiotropic effects, typically expressed during the host cell immune response. PLP inhibitors have been evaluated during past coronavirus epidemics, and have showed promising results as an antiviral therapy in vitro. In this review, we recapitulate the roles of PLPs in coronavirus infections, report a list of PLP inhibitors and suggest possible therapeutic strategies for COVID-19 treatment, using both clinical and preclinical drugs.","Deubiquitinating Enzymes in Coronaviruses and Possible Therapeutic Opportunities for COVID-19","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/ijms/about under Copyright/Open Access section","1422-0067","MDPI AG","EN","International Journal of Molecular Sciences","2020-05-16T00:01:03","Department of Experimental, Diagnostic and Specialty Medicine, University of Bologna, 40138 Bologna, Italy",1,
"246",2020,"10","2","5","221","50e196da99f14c418667702d57496eb2",1669377134438645760,"2020-05-22T15:57:30","2220-7619","pissn","coronavirus","RC109-216","LCC","Infectious and parasitic diseases","M. Yu. Shchelkanov","html","fulltext","https://www.iimmun.ru/iimm/article/view/1412","An epidemic of COVID-19 (Coronavirus disease 2019) etiologically associated with the SARS-CoV-2 (Severe acute respiratory syndrome-related coronavirus 2) that occurred at the turn of 2019–2020 firstly in Wuhan (Hubei province of China) and then spread to many countries around the world rose a new wave of interest to coronaviruses. The first coronaviruses – members of the Coronaviridae family belonging to the order Nidovirales — were discovered in the first half of the last century. The first human coronavirus, HCoV-B814, was isolated in 1965 that was not preserved in available virological collections. Over the last time, old-fashioned names and terms have been overlapped. By the beginning of the XXI century coronaviruses posed a serious veterinary problem but it was believed that epidemic coronaviruses were not among highly dangerous viruses. Scientific community had to revise such views first in 2002 when SARS-CoV (Severe acute respiratory syndrome-related coronavirus) was transferred to human population in the Southeast Asia from bats, and then in 2012 when natural foci of the MERS-CoV (Middle East respiratory syndrome-related coronavirus) were found on the territory of the Arabian Peninsula. Due to an increased interest in coronaviruses, a large number of new Coronaviridae members was discovered in the first two decades of the XXI century, which required to revise its taxonomic structure several times. This review is aimed at outlining a history of investigating coronaviruses and their current classification that was shaped in early 2020 in accordance to the last recommendations of the International Committee on Taxonomy of Viruses.","History of investigation and current classification of coronaviruses (<i>Nidovirales: Coronaviridae</i>)","RU",1,"CC BY","CC BY","http://iimmun.ru/index.php/iimm/about/submissions#copyrightNotice","2220-7619","Sankt-Peterburg : NIIÈM imeni Pastera","RU","Infekciâ i Immunitet","2020-05-18T16:28:55","International Scientific and Educational Center for Biological Security of Rospotrebnadzor; Federal Scientific Center of East Asia Terrestrial Biodiversity, Far Eastern Branch of RAS; Center of Hygiene and Epidemiology in the Primorsky Territory",,
,2020,"13","96","05","96","78c677328cd6461fb629b1d535889f86",1669376346162200580,"2020-05-14T23:02:03","10.3390/ph13050096","doi","COVID-19","RS1-441","LCC","Pharmacy and materia medica","Maha Saber-Ayad","text/html","fulltext","https://www.mdpi.com/1424-8247/13/5/96","On 11 March 2020, the coronavirus disease (COVID-19) was defined by the World Health Organization as a pandemic. Severe acute respiratory syndrome-2 (SARS-CoV-2) is the newly evolving human coronavirus infection that causes COVID-19, and it first appeared in Wuhan, China in December 2019 and spread rapidly all over the world. COVID-19 is being increasingly investigated through virology, epidemiology, and clinical management strategies. There is currently no established consensus on the standard of care in the pharmacological treatment of COVID-19 patients. However, certain medications suggested for other diseases have been shown to be potentially effective for treating this infection, though there has yet to be clear evidence. Therapies include new agents that are currently tested in several clinical trials, in addition to other medications that have been repurposed as antiviral and immune-modulating therapies. Previous high-morbidity human coronavirus epidemics such as the 2003 SARS-CoV and the 2012 Middle East respiratory syndrome coronavirus (MERS-CoV) prompted the identification of compounds that could theoretically be active against the emerging coronavirus SARS-CoV-2. Moreover, advances in molecular biology techniques and computational analysis have allowed for the better recognition of the virus structure and the quicker screening of chemical libraries to suggest potential therapies. This review aims to summarize rationalized pharmacotherapy considerations in COVID-19 patients in order to serve as a tool for health care professionals at the forefront of clinical care during this pandemic. All the reviewed therapies require either additional drug development or randomized large-scale clinical trials to be justified for clinical use.","The Rationale for Potential Pharmacotherapy of COVID-19","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/pharmaceuticals/about","1424-8247","MDPI AG","EN","Pharmaceuticals","2020-05-15T00:01:58","Department of Clinical Sciences, College of Medicine, University of Sharjah, Sharjah 27272, UAE",1,
"450",2020,"22","6","1","432","81085182025b4ba7a39faa09928e2b42",1669319674221821950,"2020-03-05T11:15:23","1735-4374","pissn","coronavirus 2019","R5-920","LCC","Medicine (General)","Ahmad Tavakoli",,"fulltext","http://ismj.bpums.ac.ir/article-1-1222-en.html","Background: At the beginning of the New Year 2020, China alerted the world health organization (WHO) to a cluster of unusual pneumonia cases in Wuhan. After extensive speculation, eventually a new species of coronavirus introduced as the causative pathogen of the disease. Coronavirus disease 2019 (COVID-19) is a name for the disease, and the virus that causes it is known SARS-CoV-2. The very rapid spread of the COVID-19 in China and in many other countries has caused fear among people across the world. The novel coronavirus outbreak declared a Public Health Emergency of International Concern on 30 January 2020.
Materials and Methods: Several databases such as PubMed, Scopus, Google scholar, and BioRxiv were searched for publications reporting on the novel coronavirus up to 29 February 2020. Literature searches were performed using keywords including “Coronavirus 2019”, “2019-nCoV”, “COVID-19”, and
“SARS-CoV-2”. Moreover, websites such as the World Health Organization (WHO) and the Centers for Disease Control and Prevention (CDC) were searched to retrieve updated data and statistics regarding the novel coronavirus. We extracted data on the epidemiology, pathogenesis, virology, clinical manifestations, transmission routes, diagnosis, treatment, and prevention measures.
Results: From the 1416 articles identified in the initial search, 53 were remained after title and abstract screening. After full-text review, 37 articles were eligible to include in our study. Incubation period for
COVID-19 is between 2-10 days, according to the World Health Organization (WHO). The case fatality rate in patients infected with SARC-CoV-2 is 4.3%, and the results indicate that the mortality is higher in elderly individuals and patients with chronic conditions including patients with coronary artery disease, diabetes, chronic pulmonary disease, and hypertension. The mortality rate in healthy subjects is less than 1%.
Conclusion: The outbreak caused by the novel coronavirus is larger than the previous human coronaviruses, showing that the SARS-CoV-2 is an extremely contagious virus. However, the mortality rate of COVID-19 is lower than that of other coronaviruses diseases such as SARS or MERS and other viruses like HIV and Ebola. Currently, due to the lack of an effective treatment and vaccine, the best way to deal with the
COVID-19 disease is to prevent transmission and spread of the virus and to execute personal protective measures.","Novel Coronavirus Disease 2019 (COVID-19): An Emerging Infectious Disease in the 21st Century","IR",1,"CC BY-NC","CC BY-NC","http://ismj.bpums.ac.ir/find.php?item=1.70.25.en","1735-4374","Bushehr University of Medical Sciences","EN","Iranian South Medical Journal ","2020-03-05T11:15:23","
             Department of Medical Virology, School of Medicine, Iran University of Medical Sciences, Tehran, Iran    
	      ",,
,2020,"9","1138","04","1138","789306cde6174650bedb93c61f9e4fc5",1669376947032948740,"2020-04-16T23:00:35","10.3390/jcm9041138","doi","COVID-19","R","LCC","Medicine","Pietro  Emanuele Napoli","text/html","fulltext","https://www.mdpi.com/2077-0383/9/4/1138","In the current work, we discovered and analyzed the epidemiological paradox between coronavirus disease 2019 (COVID-19) and malaria in the initial phase of the ongoing pandemic. From the analysis of distribution data, the endemic presence of malaria seems to protect some populations from COVID-19 outbreak, particularly in the least developed countries. In this sense, molecular and genetic variations associated with malaria (e.g., in ACE2) might play a protective role against coronavirus infection. Moreover, the mechanism of action of some antimalarial drugs, e.g., the antiviral function, suggests their potential role in the chemoprophylaxis of coronavirus epidemics, despite possible adverse effects (e.g., retinal toxicity). All these data provide important insights to understand the spreading mechanisms of COVID-19, and to direct scientific research toward the study of some currently available medications.","Global Spread of Coronavirus Disease 2019 and Malaria: An Epidemiological Paradox in the Early Stage of A Pandemic","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/jcm/about","2077-0383","MDPI AG","EN","Journal of Clinical Medicine","2020-04-17T00:00:31","Department of Surgical Science, Eye Clinic, University of Cagliari, 09124 Cagliari, Italy",1,
"5",2020,"11","1","3","1","14322b98be474baf80ac801efefb7a9c",1669376005839519740,"2020-04-08T08:26:23","2008-9058","pissn","health system","R5-920","LCC","Medicine (General)","Vahideh Zareh Gavgani","pdf","fulltext","http://dohweb.tbzmed.ac.ir/doh/223/2/410","In December 26, 2019, 4 unusual cases of pneumonia were recorded in China, three of those were from the same family. Another 3 cases of pneumonia were found in the same hospital in December 28 and 29(1). The virus started to expand rapidly so that doctors in Wuhan Hospital reported the phenomenon to China’s CDC and WHO. The research articles began to publish online from the first of January.  The Coronavirus news spread out as quickly as the virus. The virus was named new coronavirus 2019 (nCoV 2019). In January 7, 2020 the disease caused by the virus was identified as CoVID 19 (1). The altmetrics database indicates the first mentions to the peer reviewed articles about coronavirus has been tracked in social media like Twitter and Facebook since January 16,2020. The majority of mentions aggregated from the public profiles. The scientists, practitioners (like doctors) and science communicators (like journalists) were the other group of people who mentioned the scientific articles. This could be a dangerous sign for risk communication, at the same time. The public are the main group who follow the news and information on the social media but not all of the public know how to distinguish misinformation from the truth.&nbsp;  In January 30, the coronavirus was identified as a global health threat requiring collaboration of all countries (2). In February, the virus spread out of the China and immediately became the headline of news media. In Mach 8,2020 the China health department claimed that the outbreak has been controlled and Wuhan closed makeshift hospitals(4,5) but the disease surges in Iran. The first cases of coronavirus were formally reported in 19 February 2020 in Qum city of Iran (3). At the moment, the highest rank of mortality caused by the pandemic relates to Italy, Iran, and South Korea (6). People surf the web and social media impatiently for information on cause, transmission, control and prevention of coronavirus disease (CoViD 19).&nbsp; They often use and re-publish the information they find online before recognizing their trustworthiness and the evidence behind them.&nbsp;&nbsp;&nbsp;&nbsp;  The open access and democratic nature of health communication in social media and the Internet provide opportunity for distribution of myths and truths about coronavirus. Distribution of misinformation among public, damages public health and creates distrust to authorized sources of information. Therefore, misinformation epidemic is more dangerous than the crises.  Goffman in 1964 (13) and then Eysenbach recognized and introduced the prevalence of misinformation epidemic through online health information seeking in 2002 (7). He found that most of health information that disseminate during epidemic in social media and internet disagree the evidence (8,9). He called the methods of identifying, studying and management of misinformation as infodemiology. Infodemiology progresses in crises, specially the public health crises, in which abundant of misinformation becomes accessible for public and creates complexity instead of solving the problem.  WHO director in the Munich Security Conference held in 15 February doubted about distribution of misinformation about the epidemic of coronavirus and called it the infodemic by declaring that we are not fighting an epidemic, we are fighting infodemic and this requires global collaboration (10,11).  In crises, public informing of the methods of evaluation of information resources is not a right strategy for tackling with dissemination of misinformation. Novel strategies are needed to tackle with new infodemic crises and to assure that right information disseminated from the trusted sources to people at the right time. We also need to guarantee that people take the right action by receiving the right information in coronavirus epidemic. Hence, the WHO’s Risk Communication Team launched a new information platform called WHO Information Network for Epidemics (EPI-WIN) (2). One of the methods that this team follows is identifying misinformation in social media, searching and finding related scientific evidence with them from sources such as scientific papers and publishing them on EPIWIN website to provide accurate information for information hunger of the people. Today, infodemic crises have become one of the priorities of health decision making authorities in the world. We also warn our society about misinformation distributed among public in the form of news, recommendation and guidelines about coronavirus. Misinformation caused more than 27 deaths by direct consumption of alcohol and detergents to avoid the risk of coronavirus in Iran (12).&nbsp; Recommending use of some foods, drugs and plants without scientific evidence increases rapidly among people. Some of these products like Descurainia sophia, garlic, cinnamon, nigella seeds, wild rue seeds have no evidence and some like Vitamin D have been proved to be effective by the evidence but are misinformed and distorted.&nbsp;&nbsp;  These are just examples of misinformation epidemic on coronavirus 2019 pneumonic. Still there are further issues to discuss and to study about the psychological adverse effects. The spread of misinformation about coronavirus has political, industrial, economical and health related aspects which require specific strategies for treatment. It is required that a team is formed in Iran for tracking, controlling and managing the contamination of information to assess information evidence.","Infodemic in the Global Coronavirus Crisis","IR",1,"CC BY-NC","CC BY-NC","http://dohweb.tbzmed.ac.ir/?PageID=4","2008-9058","Tabriz University of Medical Sciences","FA","Ta?v?r-i sal?mat","2020-04-08T08:26:23",". Department of Medical Library and Information Sciences, School of Management and Medical Informatics, Tabriz University of Medical Sciences, Tabriz, Iran ",,
